TupleID,ClassLabel
d828c8b3-149f-49b0-a285-9a9947ad8cc8,108000
28c8409d-f8a5-4421-882b-9c3fa1fb82ee,138000
2e225bef-66ab-4155-a20b-9e5c9b9fff3a,140000
1cf9e188-d6f8-4e14-95c4-81e35143985c,126000
476dc2a2-9764-496c-a603-b655a14f74c3,58000
b7ca1a67-2e89-40c1-aca0-db3240754b3f,65000
87c26dd0-ffaf-4cfb-a13e-0e60b6393188,140000
e7ad8f44-de22-4075-8f3a-2e15a9c74393,106000
dfdad141-9153-4251-bd36-e651e5de2021,81000
5604f30c-8529-4d8e-b604-2268cecf85bb,122000
abcc43c4-5d1e-4582-a47b-44cf895f4b86,100000
